Layer,N,H,W,C,K,R,S,Runtime,GFLOPs
conv_1,8,16,16,128,128,3,3,0.0158832,38026.3
conv_2,8,16,16,256,256,3,3,0.0245584,98374.5
conv_3,8,16,16,384,384,3,3,0.0332672,163399
conv_4,8,16,16,512,512,3,3,0.0423536,228167
conv_5,8,16,16,640,640,3,3,0.0507344,297618
conv_6,8,16,16,768,768,3,3,0.102354,212433
conv_7,8,16,16,896,896,3,3,0.117042,252859
conv_8,8,16,16,1024,1024,3,3,0.132822,291026
conv_9,8,16,16,1152,1152,3,3,0.147859,330871
conv_10,8,16,16,1280,1280,3,3,0.164302,367603
conv_11,8,16,16,1408,1408,3,3,0.264032,276791
conv_12,8,16,16,1536,1536,3,3,0.287272,302755
conv_13,8,16,16,1664,1664,3,3,0.309186,330134
conv_14,8,16,16,1792,1792,3,3,0.332374,356165
conv_15,8,16,16,1920,1920,3,3,0.355011,382792
conv_16,8,16,16,2048,2048,3,3,0.493882,313069
conv_17,8,32,32,128,128,3,3,0.0164496,146868
conv_18,8,32,32,256,256,3,3,0.040184,240486
conv_19,8,32,32,384,384,3,3,0.0812816,267505
conv_20,8,32,32,512,512,3,3,0.135019,286290
conv_21,8,32,32,640,640,3,3,0.165459,365032
conv_22,8,32,32,768,768,3,3,0.241957,359457
conv_23,8,32,32,896,896,3,3,0.330469,358218
conv_24,8,32,32,1024,1024,3,3,0.435768,354819
conv_25,8,32,32,1152,1152,3,3,0.553171,353759
conv_26,8,32,32,1280,1280,3,3,0.617091,391501
conv_27,8,32,32,1408,1408,3,3,0.753144,388141
conv_28,8,32,32,1536,1536,3,3,0.91108,381846
conv_29,8,32,32,1664,1664,3,3,1.07723,379019
conv_30,8,32,32,1792,1792,3,3,1.16077,407935
conv_31,8,32,32,1920,1920,3,3,1.35096,402366
conv_32,8,32,32,2048,2048,3,3,1.5565,397350
conv_33,8,64,64,128,128,3,3,0.0444976,217173
conv_34,8,64,64,256,256,3,3,0.126578,305383
conv_35,8,64,64,384,384,3,3,0.250238,347561
conv_36,8,64,64,512,512,3,3,0.417,370789
conv_37,8,64,64,640,640,3,3,0.629054,384056
conv_38,8,64,64,768,768,3,3,0.885546,392856
conv_39,8,64,64,896,896,3,3,1.17751,402137
conv_40,8,64,64,1024,1024,3,3,1.5226,406196
conv_41,8,64,64,1152,1152,3,3,1.96595,398157
conv_42,8,64,64,1280,1280,3,3,2.41504,400146
conv_43,8,64,64,1408,1408,3,3,2.87647,406507
conv_44,8,64,64,1536,1536,3,3,3.41107,407957
conv_45,8,64,64,1664,1664,3,3,3.9636,412040
conv_46,8,64,64,1792,1792,3,3,4.57969,413583
conv_47,8,64,64,1920,1920,3,3,5.234,415423
conv_48,8,64,64,2048,2048,3,3,5.9333,416952
