Layer,N,H,W,C,K,R,S,Runtime,GFLOPs
conv_1,1,16,16,128,128,3,3,0.023768,3176.43
conv_2,1,16,16,256,256,3,3,0.040368,7480.92
conv_3,1,16,16,384,384,3,3,0.0571312,11893.3
conv_4,1,16,16,512,512,3,3,0.0734976,16435.4
conv_5,1,16,16,640,640,3,3,0.0910064,20739.6
conv_6,1,16,16,768,768,3,3,0.106979,25406
conv_7,1,16,16,896,896,3,3,0.124118,29805.2
conv_8,1,16,16,1024,1024,3,3,0.140637,34356.9
conv_9,1,16,16,1152,1152,3,3,0.157323,38870.9
conv_10,1,16,16,1280,1280,3,3,0.174659,43225.6
conv_11,1,16,16,1408,1408,3,3,0.190552,47940.7
conv_12,1,16,16,1536,1536,3,3,0.207602,52367.8
conv_13,1,16,16,1664,1664,3,3,0.223898,56986.2
conv_14,1,16,16,1792,1792,3,3,0.240533,61519.7
conv_15,1,16,16,1920,1920,3,3,0.258398,65739.3
conv_16,1,16,16,2048,2048,3,3,0.27347,70674.4
conv_17,1,32,32,128,128,3,3,0.0239088,12630.9
conv_18,1,32,32,256,256,3,3,0.040376,29917.8
conv_19,1,32,32,384,384,3,3,0.0572064,47510.6
conv_20,1,32,32,512,512,3,3,0.073736,65528.9
conv_21,1,32,32,640,640,3,3,0.0912768,82712.7
conv_22,1,32,32,768,768,3,3,0.108437,100258
conv_23,1,32,32,896,896,3,3,0.124957,118421
conv_24,1,32,32,1024,1024,3,3,0.141616,136477
conv_25,1,32,32,1152,1152,3,3,0.158646,154187
conv_26,1,32,32,1280,1280,3,3,0.176354,171241
conv_27,1,32,32,1408,1408,3,3,0.338779,107860
conv_28,1,32,32,1536,1536,3,3,0.369374,117730
conv_29,1,32,32,1664,1664,3,3,0.399123,127871
conv_30,1,32,32,1792,1792,3,3,0.428814,138032
conv_31,1,32,32,1920,1920,3,3,0.460843,147442
conv_32,1,32,32,2048,2048,3,3,0.488562,158239
conv_33,1,64,64,128,128,3,3,0.0239568,50422.4
conv_34,1,64,64,256,256,3,3,0.04124,117164
conv_35,1,64,64,384,384,3,3,0.1022,106376
conv_36,1,64,64,512,512,3,3,0.13088,147672
conv_37,1,64,64,640,640,3,3,0.163194,185050
conv_38,1,64,64,768,768,3,3,0.283296,153502
conv_39,1,64,64,896,896,3,3,0.327149,180927
conv_40,1,64,64,1024,1024,3,3,0.483909,159760
conv_41,1,64,64,1152,1152,3,3,0.545365,179412
conv_42,1,64,64,1280,1280,3,3,0.609754,198106
conv_43,1,64,64,1408,1408,3,3,0.823579,177473
conv_44,1,64,64,1536,1536,3,3,0.899394,193404
conv_45,1,64,64,1664,1664,3,3,1.15439,176842
conv_46,1,64,64,1792,1792,3,3,1.24294,190484
conv_47,1,64,64,1920,1920,3,3,1.34145,202610
conv_48,1,64,64,2048,2048,3,3,1.64712,187744
